,Role,Company,Stipend,Duration,Location
5463,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
5464,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
5465,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
5466,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
5467,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
5468,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,"North Goa, Goa Velha, Goa"
5469,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Indore
5470,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5471,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5472,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mohali
5473,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
5474,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Mumbai
5475,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Raipur
5476,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
5477,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Mumbai
5478,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Bangalore
5479,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Goa Velha
5480,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Chennai                                                            (Hybrid)
5481,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,"Mangalore, Bangalore, Udupi"
5482,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,Jaipur
5483,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,Pune
5484,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,Kolkata
5485,Photography,Suruchi Sable,"₹ 10,000 /month",6 Months,Bangalore
5486,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Ludhiana
5487,Graphic Design,Webverge,"₹ 7,000-10,000 /month",6 Months,"Chennai, Avadi, Thiruvallur"
5488,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Noida
5489,Weekend Event Host,Breakout,"₹ 4,000-5,000 /month",6 Months,
5490,Event Management,MentorBoxx,"₹ 10,000 /month",1 Week,
5491,Search Engine Optimization (SEO),Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,
5492,Event Management,Scoreup Sports,"₹ 15,000-20,000 /month",1 Month,
5493,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,
5494,Interior Design,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
5495,Digital Marketing,Fluraa Essence,"₹ 6,000 /month",6 Months,
5496,Videography,Tap That,"₹ 10,000-15,000 /month",3 Months,
5497,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,
5498,Product Design,ABEX Excellence Private Limited,"₹ 10,000 /month",3 Months,
5499,Sales Consultant,MacroHire,"₹ 10,000 /month",3 Months,
5500,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
5501,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
5502,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
5503,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
5504,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
5505,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
5506,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
5507,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
5508,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
5509,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
5510,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
5511,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
5512,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
5513,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
5514,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
5515,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
5516,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
5517,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
5518,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,"North Goa, Goa Velha, Goa"
5519,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Indore
5520,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5521,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5522,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mohali
5523,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
5524,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Mumbai
5525,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Raipur
5526,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
5527,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Mumbai
5528,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Bangalore
5529,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Goa Velha
5530,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Chennai                                                            (Hybrid)
5531,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,"Mangalore, Bangalore, Udupi"
5532,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,Jaipur
5533,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,Pune
5534,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,Kolkata
5535,Photography,Suruchi Sable,"₹ 10,000 /month",6 Months,Bangalore
5536,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Ludhiana
5537,Graphic Design,Webverge,"₹ 7,000-10,000 /month",6 Months,"Chennai, Avadi, Thiruvallur"
5538,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Noida
5539,Weekend Event Host,Breakout,"₹ 4,000-5,000 /month",6 Months,
5540,Event Management,MentorBoxx,"₹ 10,000 /month",1 Week,
5541,Search Engine Optimization (SEO),Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,
5542,Event Management,Scoreup Sports,"₹ 15,000-20,000 /month",1 Month,
5543,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,
5544,Interior Design,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
5545,Digital Marketing,Fluraa Essence,"₹ 6,000 /month",6 Months,
5546,Videography,Tap That,"₹ 10,000-15,000 /month",3 Months,
5547,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,
5548,Product Design,ABEX Excellence Private Limited,"₹ 10,000 /month",3 Months,
5549,Sales Consultant,MacroHire,"₹ 10,000 /month",3 Months,
5550,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
5551,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
5552,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
5553,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
5554,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
5555,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
5556,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
5557,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
5558,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
5559,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
5560,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
5561,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
5562,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
5563,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
5564,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
5565,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
5566,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
5567,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
5568,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,"North Goa, Goa Velha, Goa"
5569,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Indore
5570,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5571,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5572,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mohali
5573,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
5574,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Mumbai
5575,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Raipur
5576,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
5577,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Mumbai
5578,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Bangalore
5579,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Goa Velha
5580,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Chennai                                                            (Hybrid)
5581,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,"Mangalore, Bangalore, Udupi"
5582,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,Jaipur
5583,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,Pune
5584,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,Kolkata
5585,Photography,Suruchi Sable,"₹ 10,000 /month",6 Months,Bangalore
5586,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Ludhiana
5587,Graphic Design,Webverge,"₹ 7,000-10,000 /month",6 Months,"Chennai, Avadi, Thiruvallur"
5588,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Noida
5589,Weekend Event Host,Breakout,"₹ 4,000-5,000 /month",6 Months,
5590,Event Management,MentorBoxx,"₹ 10,000 /month",1 Week,
5591,Search Engine Optimization (SEO),Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,
5592,Event Management,Scoreup Sports,"₹ 15,000-20,000 /month",1 Month,
5593,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,
5594,Interior Design,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
5595,Digital Marketing,Fluraa Essence,"₹ 6,000 /month",6 Months,
5596,Videography,Tap That,"₹ 10,000-15,000 /month",3 Months,
5597,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,
5598,Product Design,ABEX Excellence Private Limited,"₹ 10,000 /month",3 Months,
5599,Sales Consultant,MacroHire,"₹ 10,000 /month",3 Months,
5600,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
5601,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
5602,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
5603,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
5604,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
5605,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
5606,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
5607,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
5608,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
5609,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
5610,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
5611,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
5612,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
5613,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
5614,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
5615,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
5616,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
5617,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
5618,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,"North Goa, Goa Velha, Goa"
5619,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Indore
5620,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5621,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5622,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mohali
5623,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
5624,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Mumbai
5625,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Raipur
5626,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
5627,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Mumbai
5628,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Bangalore
5629,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Goa Velha
5630,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Chennai                                                            (Hybrid)
5631,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,"Mangalore, Bangalore, Udupi"
5632,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,Jaipur
5633,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,Pune
5634,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,Kolkata
5635,Photography,Suruchi Sable,"₹ 10,000 /month",6 Months,Bangalore
5636,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Ludhiana
