,Role,Company,Stipend,Duration,Location
7675,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Bangalore
7676,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Jaipur
7677,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Delhi
7678,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Mumbai
7679,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Pune
7680,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Delhi
7681,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,Hyderabad
7682,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,"Delhi, Gurgaon, Noida                                                            (Hybrid)"
7683,Graphic Design,Raima Meditech Pvt Ltd,"₹ 10,000-15,000 /month",4 Months,Mumbai                                                            (Hybrid)
7684,Business Development (Sales),Stirring Minds,"₹ 5,000-12,000 /month",6 Months,Bangalore
7685,Content Writing,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Panchkula
7686,Video Editing/Making,Tap That,"₹ 10,000-15,000 /month",3 Months,Hyderabad
7687,Social Media Marketing,Sid&co,"₹ 6,000-12,000 /month",6 Months,Pune
7688,Customer Service/Customer Support,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,Pune
7689,Graphic Design,Sorted Branding,"₹ 8,000 /month",3 Months,
7690,Digital Marketing,Pune Medical Coding Training Institute,"₹ 7,000 /month",6 Months,
7691,Founders Office Operations,Stirring Minds,"₹ 6,000-12,000 /month",6 Months,
7692,Influencer Marketer - Malayalam,Doveriye,"₹ 10,000-14,000 /month",3 Months,
7693,Creative Design,Art Of Puja,"₹ 7,000 /month",3 Months,
7694,Business Strategy,Aventus Capital,"₹ 5,000-10,000 /month",5 Months,
7695,Graphic Design,Techyguide OPC Private Limited,"₹ 5,000 /month",6 Months,
7696,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
7697,Graphic Design,Swipe,"₹ 20,000 /month",6 Months,
7698,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
7699,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
